Progress,Duration (in seconds),Finished,QID1,Q1,Q2,Q2_4_TEXT,Q3,Q4,Q4_10_TEXT,Q5,Q6,Q6_8_TEXT,Q7,Q8,Q8_5_TEXT,Q9,Q9_5_TEXT,Q10,Q11,Q11_7_TEXT,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q13_1,Q13_2,Q13_3,Q13_4,Q14_1,Q15_1,Q16_1,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q18
100,138,TRUE,Yes,United States,Female,,18-24 years old,Bachelor's degree,,No,"I don't think these apps can make accurate predictions,I generally install/use very few apps,It is not mandatory in my country of residence",,,,,,,,,,Very comfortable,Neutral,Comfortable,Comfortable,Comfortable,Agree,Neutral,Agree,Strongly disagree,Disagree,Strongly disagree,Comfortable,Comfortable,Uncomfortable,Comfortable,Very uncomfortable,Uncomfortable,
100,150,TRUE,Yes,United States,Female,,18-24 years old,High school,,No,I generally install/use very few apps,,,,,,,,,,Uncomfortable,Uncomfortable,Very uncomfortable,Very uncomfortable,Uncomfortable,Neutral,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Neither,Neither,Uncomfortable,Comfortable,Very uncomfortable,Very uncomfortable,
100,129,TRUE,Yes,,Female,,18-24 years old,High school,,No,Other,Didn't know they existed,,,,,,,,,Uncomfortable,Comfortable,Neutral,Very comfortable,Comfortable,Agree,Strongly disagree,Strongly agree,Neutral,,Strongly disagree,Neither,Comfortable,Uncomfortable,Very comfortable,Neither,Comfortable,
100,151,TRUE,Yes,United States,Female,,18-24 years old,High school,,No,"I don't believe these coronavirus apps are useful,It is not mandatory in my country of residence",,"If it was proven to be helpful/if I knew about helpful ones in the US. I know other countries have some, but I don't know of any that work for the US.",,,,,,,,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Agree,Agree,Agree,Disagree,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Neither,Neither,
100,155,TRUE,Yes,United States,Female,,18-24 years old,Bachelor's degree,,No,Other,Never thought to download them,I don't t have concerns I just wasn't aware there are apps,,,,,,,,Very uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Comfortable,Strongly agree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Very uncomfortable,Neither,Neither,Very uncomfortable,Very uncomfortable,Very uncomfortable,
100,266,TRUE,Yes,,Female,,18-24 years old,High school,,No,Other,I haven't seen any apps related to coronavirus ,It would help me check in with myself and my potential symptoms and also maybe allow me to have a feel for what the cases are like around me in my area. ,,,,,,,,Comfortable,Comfortable,Uncomfortable,Comfortable,Comfortable,Agree,Neutral,Agree,Disagree,Disagree,Strongly disagree,Uncomfortable,Comfortable,Neither,Comfortable,Uncomfortable,Very uncomfortable,Just make sure peoples medical info is private. I know a lot of people wouldn't use an app like that just due to that reason alone 
100,350,TRUE,Yes,United States,Female,,18-24 years old,High school,,No,"I generally install/use very few apps,It is not mandatory in my country of residence",,I am perfectly fine using one. I'm just not sure how effective it would be based on the few number of people using them in my country.,,,,,,,,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Strongly agree,Agree,Strongly agree,Agree,Agree,Disagree,Very comfortable,Very comfortable,Comfortable,Very comfortable,Comfortable,Comfortable,I wish they had been used in the US. I think the general population has made mistakes in caring more about individual rights than community health and wellbeing.
100,260,TRUE,Yes,United States,Female,,18-24 years old,High school,,No,I generally install/use very few apps,,I am open to using a covid-19 app,,,,,,,,Comfortable,Neutral,Uncomfortable,Neutral,Neutral,Neutral,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Comfortable,Very comfortable,Neither,Very comfortable,Comfortable,Neither,I'm concerned the app will then use all my info for other things/projects 
100,327,TRUE,Yes,United States,Male,,18-24 years old,Bachelor's degree,,No,"For device-related concerns (too much memory usage, too many notifications, too much battery drain etc.),I don't think these apps can make accurate predictions,It is not mandatory in my country of residence",,Ensuring it doesn't drain my phone's battery,,,,,,,,Neutral,Very comfortable,Uncomfortable,Comfortable,Uncomfortable,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Comfortable,Comfortable,Uncomfortable,Neither,Very uncomfortable,Uncomfortable,
100,167,TRUE,Yes,United States,Female,,18-24 years old,Bachelor's degree,,No,Other,I didn't know there was a corona virus app,I'll use it,,,,,,,,Very comfortable,Very comfortable,Neutral,Very comfortable,Comfortable,Strongly agree,Neutral,Strongly agree,Disagree,Agree,Agree,Very comfortable,Comfortable,Neither,Very comfortable,Neither,Neither,
100,316,TRUE,Yes,United States,Male,,18-24 years old,High school,,No,I generally install/use very few apps,,"Transparency on protocols in use, how privacy is maintained",,,,,,,,Neutral,Comfortable,Comfortable,Very comfortable,Comfortable,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Disagree,Comfortable,Very comfortable,Uncomfortable,Very comfortable,Uncomfortable,Very comfortable,
100,367,TRUE,Yes,United States,Female,,18-24 years old,Other,Working towards my Bachelors ,No,"I don't believe these coronavirus apps are useful,I generally install/use very few apps",,The information was not shared but only for personal use,,,,,,,,Very uncomfortable,Uncomfortable,Very uncomfortable,Very uncomfortable,Comfortable,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Comfortable,Very comfortable,Very uncomfortable,Very comfortable,Very uncomfortable,Very uncomfortable,
100,134308,TRUE,Yes,Akrotiri,Male,,35-44 years old,Doctorate degree,,No,"I don't think these apps can make accurate predictions,I don't believe these coronavirus apps are useful,I generally install/use very few apps,It is not mandatory in my country of residence",,,,,,,,,,Very uncomfortable,Neutral,Very uncomfortable,Uncomfortable,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Comfortable,Comfortable,Comfortable,Neither,Uncomfortable,,
100,9,TRUE,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,45,TRUE,Yes,,I prefer not to answer,,I prefer not to answer,Other,,No,Other,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neither,Neither,Neither,Neither,Neither,Neither,
5,7,FALSE,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,75,FALSE,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,366,FALSE,Yes,Algeria,Male,,35-44 years old,Bachelor's degree,,No,I generally install/use very few apps,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,119,FALSE,Yes,Canada,Female,,18-24 years old,High school,,No,"I don't think these apps can make accurate predictions,I generally install/use very few apps",,,,,,,,,,,,,,,,,,,,,,,,,,,
30,70,FALSE,Yes,United States,Female,,18-24 years old,Bachelor's degree,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,57,FALSE,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,22,FALSE,Yes,,Female,,18-24 years old,Bachelor's degree,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,17,FALSE,Yes,,I prefer not to answer,,I prefer not to answer,Other,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,50,FALSE,Yes,Algeria,Male,,35-44 years old,Doctorate degree,,No,It is not mandatory in my country of residence,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,FALSE,Yes,,Female,,18-24 years old,High school,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11,FALSE,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,12163,TRUE,Yes,United States,Female,,35-44 years old,Doctorate degree,,No,"I don't think these apps can make accurate predictions,I don't believe these coronavirus apps are useful,I generally install/use very few apps,It is not mandatory in my country of residence",,Hearing experience from others of the benefits of using it,,,,,,,,Very uncomfortable,Very uncomfortable,Very uncomfortable,Neutral,Comfortable,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Comfortable,Comfortable,Comfortable,Comfortable,Very uncomfortable,Very uncomfortable,
100,276,TRUE,Yes,United States,Female,,55-64 years old,Doctorate degree,,No,I generally install/use very few apps,,Learning about them ,,,,,,,,Very uncomfortable,Neutral,Very uncomfortable,Very uncomfortable,Neutral,Agree,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Comfortable,Neither,Very uncomfortable,Comfortable,Very uncomfortable,Very uncomfortable,
100,336,TRUE,Yes,,Male,,35-44 years old,Master's degree,,Yes,,,,"Wellbeing of myself and my family,Instruction from the government",,"Coronavirus information app (apps that provide information, i.e., apps with map, visualization etc),Self-assessment app (apps that check symptoms)",,To be up to date with stats and simple steps for self assessment,"Once the pandemic ends,If I become aware of any privacy breach,If I get inaccurate information,If I see targeted ads,If I experience device-related issues(too much memory usage, too many notifications, too much battery drain etc.)",,Uncomfortable,Uncomfortable,Very uncomfortable,Very uncomfortable,Neutral,Agree,Disagree,Agree,Strongly disagree,Agree,Disagree,Comfortable,Comfortable,Uncomfortable,Comfortable,Neither,Comfortable,
100,282,TRUE,Yes,Canada,Male,,35-44 years old,Master's degree,,No,I generally install/use very few apps,,,,,,,,,,Very uncomfortable,Very uncomfortable,Very uncomfortable,Very uncomfortable,Very uncomfortable,Agree,Disagree,Agree,Neutral,Agree,Disagree,Very uncomfortable,Comfortable,Very uncomfortable,Comfortable,Very uncomfortable,Neither,
100,404,TRUE,Yes,United States,Male,,35-44 years old,Master's degree,,No,"I don't think these apps can make accurate predictions,I don't believe these coronavirus apps are useful,For privacy concerns",,If the data is being handled by a company I trust and and they maintain anonymity,,,,,,,,Very uncomfortable,Neutral,Very uncomfortable,Neutral,Comfortable,Neutral,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Uncomfortable,Uncomfortable,Very uncomfortable,Comfortable,Uncomfortable,Very uncomfortable,
100,328,TRUE,Yes,Taiwan,Male,,25-34 years old,Master's degree,,Yes,,,,Curiosity,,Research related apps,,I want to know how the app works.,"Once the pandemic ends,If I become aware of any privacy breach,If I see targeted ads,If I experience device-related issues(too much memory usage, too many notifications, too much battery drain etc.)",,Very uncomfortable,Very uncomfortable,Uncomfortable,Very uncomfortable,Uncomfortable,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Neither,Neither,Uncomfortable,Neither,Uncomfortable,Neither,It cannot take too much power consumption.
100,412,TRUE,Yes,Iran,Male,,25-34 years old,Bachelor's degree,,Yes,,,,Curiosity,,"Coronavirus information app (apps that provide information, i.e., apps with map, visualization etc)",,,"Once the pandemic ends,If I become aware of any privacy breach,If I get inaccurate information,If I see targeted ads,If I experience device-related issues(too much memory usage, too many notifications, too much battery drain etc.)",,Very uncomfortable,Comfortable,Very uncomfortable,Very uncomfortable,Very comfortable,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Strongly agree,Comfortable,Very comfortable,Neither,Very comfortable,Neither,Comfortable,
100,294,TRUE,Yes,Norway,Male,,25-34 years old,Master's degree,,No,"I don't think these apps can make accurate predictions,I don't believe these coronavirus apps are useful",,,,,,,,,,Very uncomfortable,Very uncomfortable,Very uncomfortable,Very uncomfortable,Comfortable,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Uncomfortable,Comfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,
100,251,TRUE,Yes,Iran,Male,,18-24 years old,Bachelor's degree,,No,It is not mandatory in my country of residence,,,,,,,,,,Neutral,Comfortable,Uncomfortable,Uncomfortable,Comfortable,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Comfortable,Comfortable,Uncomfortable,Comfortable,Uncomfortable,Very uncomfortable,
100,7,TRUE,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,495,TRUE,Yes,United States,Male,,25-34 years old,Bachelor's degree,,Yes,,,,Curiosity,,"Coronavirus information app (apps that provide information, i.e., apps with map, visualization etc)",,,"Once the pandemic ends,When it is no longer mandated by the government (local/federal),If I become aware of any privacy breach,If I get inaccurate information,If I see targeted ads,If I experience device-related issues(too much memory usage, too many notifications, too much battery drain etc.)",,Uncomfortable,Neutral,Very uncomfortable,Very uncomfortable,Uncomfortable,Strongly disagree,Strongly disagree,Neutral,Agree,Disagree,Disagree,Uncomfortable,Very uncomfortable,Very uncomfortable,Comfortable,Very uncomfortable,Comfortable,"There have been many research already for app privacy. Only analysis same insight but for covid-19 does not add value. Tomorrow another group can do same research for another pandemic. Think about ""novelty""."
100,558,TRUE,Yes,United States,Male,,35-44 years old,Bachelor's degree,,No,Other,It never occurred to me,,,,,,,,,Uncomfortable,Comfortable,Very uncomfortable,Uncomfortable,Neutral,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Comfortable,Uncomfortable,Uncomfortable,Comfortable,Comfortable,Very uncomfortable,"I've heard that for these apps to be effective, 80% of all smartphone users would need to opt in. That's my biggest concern. That's pretty unlikely."
100,1673,TRUE,Yes,United States,Female,,25-34 years old,Bachelor's degree,,No,"I generally install/use very few apps,For privacy concerns,It is not mandatory in my country of residence",,Knowing it was not connected with anyone in government or monetarily benefitting from COVID 19.,,,,,,,,Very uncomfortable,Very uncomfortable,Very uncomfortable,Very uncomfortable,Comfortable,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very uncomfortable,Uncomfortable,Very uncomfortable,Uncomfortable,Very uncomfortable,Very uncomfortable,"Once they have access, how can you be sure they are no longer tracking you? I feel this is an invasion of privacy and HIPAA violation."
100,396,TRUE,Yes,,Male,,45-54 years old,Bachelor's degree,,No,"I don't think these apps can make accurate predictions,I don't believe these coronavirus apps are useful,It is not mandatory in my country of residence",,Effectiveness  ,,,,,,,,Comfortable,Comfortable,Uncomfortable,Comfortable,Comfortable,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Neither,Comfortable,Neither,Neither,Uncomfortable,Neither,
100,166,TRUE,Yes,United States,Female,,25-34 years old,Master's degree,,Yes,,,,"Wellbeing of myself and my family,Curiosity",,"Coronavirus information app (apps that provide information, i.e., apps with map, visualization etc)",,,Once the pandemic ends,,Very uncomfortable,Neutral,Very uncomfortable,Uncomfortable,Very uncomfortable,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very uncomfortable,Very uncomfortable,Very uncomfortable,Very uncomfortable,Very uncomfortable,Very uncomfortable,
100,263,TRUE,Yes,United States,Female,,25-34 years old,Bachelor's degree,,No,"I don't think these apps can make accurate predictions,For privacy concerns",,,,,,,,,,Very uncomfortable,Very uncomfortable,Very uncomfortable,Very uncomfortable,Neutral,Agree,Strongly disagree,Strongly agree,Neutral,Disagree,Strongly disagree,Comfortable,Neither,Very uncomfortable,Comfortable,Uncomfortable,Comfortable,
100,193,TRUE,Yes,United Kingdom,Male,,35-44 years old,Doctorate degree,,No,"I don't think these apps can make accurate predictions,I don't believe these coronavirus apps are useful",,I would not use one as this the context is beyond human control. ,,,,,,,,Very uncomfortable,Very uncomfortable,Very uncomfortable,Very uncomfortable,Very uncomfortable,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very uncomfortable,Very uncomfortable,Very uncomfortable,Very uncomfortable,Very uncomfortable,Very uncomfortable,It is an useless proposition! 
100,386,TRUE,Yes,United States,Female,,55-64 years old,Bachelor's degree,,No,For privacy concerns,,Not really anything. I prefer not to be tracked or monitored.,,,,,,,,Uncomfortable,Very uncomfortable,Very uncomfortable,Neutral,Very uncomfortable,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very uncomfortable,Very uncomfortable,Very uncomfortable,Uncomfortable,Very uncomfortable,Very uncomfortable,
100,731,TRUE,Yes,,Male,,35-44 years old,Bachelor's degree,,No,I don't believe these coronavirus apps are useful,,no,,,,,,,,Very uncomfortable,Neutral,Uncomfortable,Uncomfortable,Comfortable,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Uncomfortable,Very uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,No
100,570,TRUE,Yes,United States,Female,,35-44 years old,Master's degree,,No,"I generally install/use very few apps,For privacy concerns,It is not mandatory in my country of residence,Other",I have been able to obtain access to relevant info without an app. I don't know if there are any apps in my region that would be useful for me.,I am not aqare of a covid app jn my region that would be useful for me. I have not heard of any that are. ,,,,,,,,Very uncomfortable,Uncomfortable,Very uncomfortable,Very uncomfortable,Comfortable,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Disagree,Comfortable,Comfortable,Very uncomfortable,Very comfortable,Very uncomfortable,Comfortable,"I think it's very important that anything like this truly be a public sector effort, and that any involvement by an industry startup or large corporation is extremely concerning, particularly given their history of inappropriately using data, wuch as Facebook. "
100,547,TRUE,Yes,United States,Male,,25-34 years old,Bachelor's degree,,No,It is not mandatory in my country of residence,,Privacy,,,,,,,,Neutral,Neutral,Comfortable,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Strongly disagree,Comfortable,Neither,Uncomfortable,Very comfortable,Uncomfortable,Very uncomfortable,Concern regarding discrimination with the data collected. 
100,1517,TRUE,Yes,Bangladesh,Female,,18-24 years old,Bachelor's degree,,No,I don't think these apps can make accurate predictions,,I do not go out much and I do not think it can track people from all walks of  life.  ,,,,,,,,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neither,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,
100,244,TRUE,Yes,United States,Female,,55-64 years old,Doctorate degree,,No,"It is not mandatory in my country of residence,Other",I don't know anything about coronavirus apps or their purpose ,More information ,,,,,,,,Uncomfortable,Very comfortable,Uncomfortable,Neutral,Comfortable,Strongly agree,Disagree,Neutral,Strongly disagree,Neutral,Disagree,Comfortable,Very comfortable,Uncomfortable,Comfortable,Very uncomfortable,Uncomfortable,
100,316,TRUE,Yes,Bangladesh,Female,,25-34 years old,Bachelor's degree,,No,"For privacy concerns,It is not mandatory in my country of residence",,,,,,,,,,Neutral,Neutral,Very uncomfortable,Uncomfortable,Comfortable,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Very comfortable,Very comfortable,Comfortable,
